epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.1909,2.34295,3.42643,1.28559,0.00523,0.59385,0.01383,0.00348,2.22384,3.78696,1.15786,0.000656566,0.000656566,0.000656566
2,119.022,2.22519,2.05469,1.22581,0.06622,0.61231,0.05041,0.01829,2.14159,17.9949,1.18885,0.00127957,0.00127957,0.00127957
3,188.366,2.20041,1.76214,1.23211,0.69387,0.55385,0.56241,0.19857,2.1198,1.3036,1.19307,0.00185857,0.00185857,0.00185857
4,255.101,2.15163,1.50585,1.21995,0.5749,0.54928,0.51087,0.19572,2.12884,1.35868,1.23843,0.001802,0.001802,0.001802
5,318.427,2.18618,1.33034,1.23403,0.5437,0.35385,0.36389,0.12785,2.13217,2.28362,1.2121,0.001736,0.001736,0.001736
6,383.436,2.13686,1.24804,1.25067,0.70218,0.58462,0.58996,0.22256,2.00383,1.14274,1.14455,0.00167,0.00167,0.00167
7,445.539,2.09932,1.17638,1.22883,0.71633,0.59692,0.63226,0.24301,2.00965,1.08707,1.14397,0.001604,0.001604,0.001604
8,520.784,2.06141,1.14414,1.19854,0.68123,0.62467,0.62284,0.23457,2.05956,1.11824,1.14881,0.001538,0.001538,0.001538
9,588.148,2.07387,1.12426,1.18734,0.7455,0.65538,0.64332,0.22451,2.13309,1.07107,1.18364,0.001472,0.001472,0.001472
10,657.626,2.05491,1.11303,1.18307,0.80417,0.63385,0.69053,0.26189,2.02814,1.01766,1.15801,0.001406,0.001406,0.001406
11,730.184,2.03861,1.11016,1.17656,0.75569,0.64615,0.66644,0.25076,2.03025,1.04972,1.16179,0.00134,0.00134,0.00134
12,810.462,2.00917,1.07185,1.16822,0.70312,0.64,0.59852,0.2239,2.07945,1.09644,1.17995,0.001274,0.001274,0.001274
13,893.799,2.03061,1.04028,1.166,0.72278,0.63692,0.61823,0.23864,2.03478,1.1226,1.15392,0.001208,0.001208,0.001208
14,961.827,1.99186,1.00127,1.15651,0.74304,0.66154,0.66687,0.24297,2.06378,1.00345,1.15997,0.001142,0.001142,0.001142
15,1027.44,1.97713,1.02086,1.15215,0.83002,0.67613,0.69952,0.26365,2.04134,0.98897,1.16009,0.001076,0.001076,0.001076
16,1095.3,2.02377,0.99002,1.1443,0.75567,0.66462,0.68513,0.26939,2.08798,1.03415,1.15565,0.00101,0.00101,0.00101
17,1170.57,1.96041,0.97732,1.15473,0.74332,0.6772,0.67454,0.2548,2.08395,1.01484,1.15586,0.000944,0.000944,0.000944
18,1240.45,1.92982,0.95726,1.1171,0.79774,0.67959,0.68611,0.2553,2.08833,0.97402,1.17383,0.000878,0.000878,0.000878
19,1308.26,1.93124,0.96269,1.14986,0.77439,0.68,0.69258,0.26906,2.07665,0.96367,1.15575,0.000812,0.000812,0.000812
20,1375.61,1.9634,0.97307,1.12735,0.7587,0.65231,0.67867,0.26765,2.02196,0.99673,1.14405,0.000746,0.000746,0.000746
21,1470.94,1.89661,0.9773,1.15268,0.75945,0.68308,0.70392,0.26373,2.0992,1.01465,1.17908,0.00068,0.00068,0.00068
22,1541.76,1.88285,0.95678,1.15026,0.80443,0.65813,0.68415,0.25641,2.09191,0.96053,1.17415,0.000614,0.000614,0.000614
23,1602.17,1.88633,0.92945,1.13707,0.82164,0.66619,0.70891,0.29238,1.98029,0.92891,1.11372,0.000548,0.000548,0.000548
24,1670.93,1.86436,0.91564,1.14624,0.75709,0.68923,0.70281,0.27752,2.01546,0.97012,1.13408,0.000482,0.000482,0.000482
25,1738.42,1.83154,0.89925,1.12925,0.78017,0.64427,0.67813,0.24432,2.15987,0.99269,1.19883,0.000416,0.000416,0.000416
26,1805.84,1.83915,0.88423,1.13061,0.79784,0.65846,0.71382,0.26708,2.08671,0.95695,1.16092,0.00035,0.00035,0.00035
27,1857.96,1.80973,0.87789,1.12185,0.81144,0.67385,0.70686,0.28037,2.0431,0.92187,1.14031,0.000284,0.000284,0.000284
28,1909.26,1.77264,0.84887,1.09514,0.80786,0.67385,0.69553,0.27083,2.10518,0.93885,1.15954,0.000218,0.000218,0.000218
29,1960.9,1.78215,0.84163,1.1023,0.77983,0.67571,0.71081,0.28174,2.05577,0.92472,1.15418,0.000152,0.000152,0.000152
30,2012.96,1.76921,0.82846,1.09685,0.81787,0.65538,0.69949,0.2732,2.08537,0.93009,1.16273,8.6e-05,8.6e-05,8.6e-05
